target,pinyin,meaning,status,mainForm,name,resolutionType,componentOfCount
化,huà,thay đổi,resolved,人,Bộ Nhân,record-radical,24
北,běi,bắc,resolved,人,Bộ Nhân,record-radical,24
匙,chí,cái thìa,resolved,匕,"Bộ Tỷ, Chủy",record-radical,3
匚,fāng,Cái đồ để đựng đồ,resolved,匚,Bộ Phương,self-radical,5
匠,jiàng,thợ thủ công,not-resolved,,,not-resolved,0
匣,xiá,hộp,resolved,匚,Bộ Phương,record-radical,5
匪,fěi,cướp; (văn học) chẳng,resolved,匚,Bộ Phương,record-radical,5
匮,Kuì,họ [Kui4],resolved,匚,Bộ Phương,record-radical,5
匸,Hì,"Che đậy.(Tượng hình cái nắp đậy ở trên, giấu phần ở dưới)",resolved,匸,Bộ Hễ,self-radical,1
匹,pǐ,từ đo lường cho ngựa,not-resolved,,,not-resolved,0
区,qū,khu vực,resolved,匚,Bộ Phương,record-radical,5
医,yī,"y, chữa bệnh",resolved,酉,Bộ Dậu,record-radical,13
匾,biǎn,"biển hiệu, hoành phi",not-resolved,,,not-resolved,0
匿,nì,ẩn nấp,resolved,匸,Bộ Hễ,record-radical,1
十,shí,mười,resolved,十,Bộ Thập,self-radical,2
千,qiān,Ngàn,resolved,一,Bộ Nhất,record-radical,4
升,shēng,lít,not-resolved,,,not-resolved,0
午,wǔ,"địa chi thứ 7: 11 giờ sáng-1 giờ chiều, buổi trưa, tháng âm lịch thứ 5 (6 tháng 6-6 tháng 7), năm Ngọ; hướng la bàn cổ đại Trung Quốc: 180° (nam)",not-resolved,,,not-resolved,0
卉,huì,cây cối,not-resolved,,,not-resolved,0
半,bàn,nửa,resolved,八,Bộ Bát,record-radical,3
华,Huá,viết tắt của Trung Quốc,not-resolved,,,not-resolved,0
协,xié,hợp tác; hoa giải,not-resolved,,,not-resolved,0
卑,bēi,thấp; hèn,not-resolved,,,not-resolved,0
卒,zú,biến thể của 卒[zu2],resolved,衣,Bộ Y,record-radical,22
卓,Zhuó,họ [Zhuo2],not-resolved,,,not-resolved,0
单,dān,đơn,not-resolved,,,not-resolved,0
卖,mài,bán,not-resolved,,,not-resolved,0
南,nán,nam,not-resolved,,,not-resolved,0
博,bó,rộng; rộng rãi,resolved,十,Bộ Thập,record-radical,2
卜,Bǔ,họ [Bu3],resolved,卜,Bộ Bốc,self-radical,3
占,zhàn,chiếm,resolved,卜,Bộ Bốc,record-radical,3
卡,kǎ,thẻ,not-resolved,,,not-resolved,0
卤,lǔ,kho trong nước tương và gia vị,not-resolved,,,not-resolved,0
卦,guà,sơ đồ bói toán; một trong tám quẻ của Kinh Dịch 易經|易经[Yi4 jing1],resolved,卜,Bộ Bốc,record-radical,3
卧,wò,nằm; ngủ,resolved,臣,Bộ Thần,record-radical,1
卩,jié,Đốt tre,resolved,卩,Bộ Tiết,self-radical,3
卫,Wèi,"họ [Wei4]; nước chư hầu thời nhà Chu (1066-221 TCN), nằm ở tỉnh Hà Nam và Hà Bắc ngày nay",not-resolved,,,not-resolved,0
印,yìn,in,resolved,爪,Bộ Trảo,record-radical,3
危,Wēi,họ [Wei1],resolved,人,Bộ Nhân,record-radical,24
即,jí,tức là,not-resolved,,,not-resolved,0
却,què,nhưng,resolved,卩,Bộ Tiết,record-radical,3
卵,luǎn,trứng,not-resolved,,,not-resolved,0
卷,juàn,quyển,resolved,卩,Bộ Tiết,record-radical,3
卸,xiè,dỡ hàng,resolved,止,Bộ Chỉ,record-radical,8
厂,chǎng,nhà máy,resolved,厂,Bộ,self-radical,10
厄,è,khốn khổ,not-resolved,,,not-resolved,0
厅,tīng,hội trường,resolved,广,Bộ Nghiễm,record-radical,14
历,lì,biến thể cũ của 曆|历[li4]; biến thể cũ của 歷|历[li4],resolved,厂,Bộ,record-radical,10
厉,Lì,họ [Li4],resolved,厂,Bộ,record-radical,10
压,yā,"ấn, đè xuống",resolved,土,Bộ Thổ,record-radical,24
厌,yàn,(dạng kết hợp) ghét; chán ngấy; (văn học) làm thỏa mãn; làm hài lòng,resolved,犬,Bộ Khuyển,record-radical,24
厕,cè,biến thể của 廁|厕[ce4],resolved,厂,Bộ,record-radical,10
厘,lí,biến thể của 釐|厘[li2],resolved,厂,Bộ,record-radical,10
厚,hòu,dày,resolved,厂,Bộ,record-radical,10
原,yuán,nguyên bản,resolved,厂,Bộ,record-radical,10
厢,xiāng,lô (trong nhà hát); phòng bên,resolved,厂,Bộ,record-radical,10
厦,Xià,"viết tắt của Hạ Môn hoặc Amoy 廈門|厦门[Xia4 men2], Phúc Kiến",resolved,厂,Bộ,record-radical,10
厨,chú,biến thể cũ của 廚|厨[chu2],resolved,厂,Bộ,record-radical,10
厶,sī,Riêng tư,resolved,厶,"Bộ Kh, Tư",self-radical,0
去,qù,đi,resolved,大,Bộ Đại,record-radical,12
县,xiàn,huyện,resolved,首,Bộ Thủ,record-radical,1
参,cān,biến thể của 參|参[can1],not-resolved,,,not-resolved,0
又,yòu,một lần nữa,resolved,又,Bộ Hựu,self-radical,17
叉,chā,cái nĩa,not-resolved,,,not-resolved,0
及,jí,và,resolved,人,Bộ Nhân,record-radical,24
友,yǒu,bạn bè,resolved,又,Bộ Hựu,record-radical,17
双,shuāng,"hai, cặp",resolved,又,Bộ Hựu,record-radical,17
反,fǎn,ngược lại,resolved,厂,Bộ,record-radical,10
发,fā,gửi,not-resolved,,,not-resolved,0
叔,shū,chú; em trai của cha,resolved,又,Bộ Hựu,record-radical,17
取,qǔ,lấy,resolved,耳,Bộ Nhĩ,record-radical,11
受,shòu,nhận,resolved,又,Bộ Hựu,record-radical,17
变,biàn,trở thành,resolved,夂,Bộ Tuy,record-radical,4
叙,xù,biến thể của 敘|叙[xu4],resolved,又,Bộ Hựu,record-radical,17
叛,pàn,phản bội; nổi loạn,not-resolved,,,not-resolved,0
叠,dié,chồng,not-resolved,,,not-resolved,0
口,kǒu,miệng,resolved,口,Bộ Khẩu,self-radical,24
古,gǔ,cổ,not-resolved,,,not-resolved,0
句,jù,câu,resolved,口,Bộ Khẩu,record-radical,24
另,lìng,khác,resolved,口,Bộ Khẩu,record-radical,24
叨,dāo,lắm lời,resolved,口,Bộ Khẩu,record-radical,24
只,zhǐ,chỉ,not-resolved,,,not-resolved,0
叫,jiào,gọi,resolved,口,Bộ Khẩu,record-radical,24
召,Shào,họ [Shao4]; tên của một nước cổ đại tồn tại ở khu vực nay là tỉnh Thiểm Tây,resolved,口,Bộ Khẩu,record-radical,24
叭,bā,"biểu thị âm thanh hoặc tiếng động mạnh (tiếng súng, v.v.)",resolved,口,Bộ Khẩu,record-radical,24
叮,dīng,"kêu 'đinh', cắn (côn trùng), dặn dò",resolved,口,Bộ Khẩu,record-radical,24
可,kě,nhưng,resolved,口,Bộ Khẩu,record-radical,24
台,tái,cái (máy móc),resolved,口,Bộ Khẩu,record-radical,24
史,Shǐ,họ [Shi3],not-resolved,,,not-resolved,0
右,yòu,phải,resolved,口,Bộ Khẩu,record-radical,24
叶,xié,hòa hợp,resolved,口,Bộ Khẩu,record-radical,24
号,hào,ngày,resolved,口,Bộ Khẩu,record-radical,24
司,Sī,họ [Si1],not-resolved,,,not-resolved,0
叹,tàn,thở dài; cảm thán,not-resolved,,,not-resolved,0
叼,diāo,ngậm,resolved,口,Bộ Khẩu,record-radical,24
吁,xū,suỵt; im lặng,resolved,口,Bộ Khẩu,record-radical,24
吃,chī,ăn,resolved,口,Bộ Khẩu,record-radical,24
各,gè,mỗi,resolved,夂,Bộ Tuy,record-radical,4
合,hé,hợp,resolved,口,Bộ Khẩu,record-radical,24
吉,Jí,họ [Ji2]; viết tắt của Jilin 吉林省[Ji2lin2 Sheng3],resolved,士,Bộ Sĩ,record-radical,3
吊,diào,treo,not-resolved,,,not-resolved,0
同,tóng,với,resolved,口,Bộ Khẩu,record-radical,24
名,míng,một lượng từ cho nghề nghiệp,resolved,夕,Bộ Tịch,record-radical,3
后,hòu,sau,not-resolved,,,not-resolved,0
吏,lì,quan chức hoặc nhân viên chính phủ nhỏ (cổ),not-resolved,,,not-resolved,0
吐,tù,nôn,resolved,口,Bộ Khẩu,record-radical,24
向,xiàng,hướng về,resolved,宀,Bộ Miên,record-radical,24
吓,xià,dọa,resolved,口,Bộ Khẩu,record-radical,24
吗,ma,một từ nghi vấn,resolved,口,Bộ Khẩu,record-radical,24
君,jūn,quân chủ; chúa,resolved,口,Bộ Khẩu,record-radical,24
吝,lìn,(hình thức kết hợp) keo kiệt,not-resolved,,,not-resolved,0
吞,tūn,nuốt,resolved,口,Bộ Khẩu,record-radical,24
吟,yín,ngâm; ngâm thơ,resolved,口,Bộ Khẩu,record-radical,24
否,fǒu,phủ định; từ chối,not-resolved,,,not-resolved,0
吧,ba,ba,resolved,口,Bộ Khẩu,record-radical,24
吨,dūn,tấn,resolved,口,Bộ Khẩu,record-radical,24
吩,fēn,dùng trong 吩咐[fen1fu5]; dùng trong phiên âm hợp chất hóa học,resolved,口,Bộ Khẩu,record-radical,24
含,hán,chứa,resolved,口,Bộ Khẩu,record-radical,24
听,tīng,nghe,resolved,口,Bộ Khẩu,record-radical,24
吭,háng,cổ họng,resolved,口,Bộ Khẩu,record-radical,24
启,qǐ,biến thể của 啟|启[qi3],not-resolved,,,not-resolved,0
吵,chǎo,ồn ào,resolved,口,Bộ Khẩu,record-radical,24
吸,xī,hít vào,resolved,口,Bộ Khẩu,record-radical,24
吹,chuī,thổi,resolved,口,Bộ Khẩu,record-radical,24
吻,wěn,hôn,resolved,口,Bộ Khẩu,record-radical,24
吼,hǒu,gầm thét,resolved,口,Bộ Khẩu,record-radical,24
呀,ya,tiếng thán từ 'ya',resolved,口,Bộ Khẩu,record-radical,24
呆,dāi,ở lại,resolved,口,Bộ Khẩu,record-radical,24
呈,chéng,"hiện ra, biểu hiện, trình bày",resolved,口,Bộ Khẩu,record-radical,24
告,gào,tố cáo,not-resolved,,,not-resolved,0
呐,nà,tiếng hò reo,resolved,口,Bộ Khẩu,record-radical,24
呕,ǒu,nôn mửa,resolved,口,Bộ Khẩu,record-radical,24
员,yuán,nhân viên,resolved,口,Bộ Khẩu,record-radical,24
呛,qiāng,bị nghẹn,resolved,口,Bộ Khẩu,record-radical,24
呜,wū,(từ tượng thanh) cho tiếng ngâm nga hoặc thút thít,resolved,口,Bộ Khẩu,record-radical,24
呢,ne,"một hạt cho câu hỏi đặc biệt, thay thế hoặc tu từ",resolved,口,Bộ Khẩu,record-radical,24
周,zhōu,tuần,not-resolved,,,not-resolved,0
味,wèi,"Vị, mùi vị",resolved,口,Bộ Khẩu,record-radical,24
呵,hē,hé,resolved,口,Bộ Khẩu,record-radical,24
呻,shēn,(văn học) ngâm; tụng; đọc; (hình thức kết hợp) rên rỉ,resolved,口,Bộ Khẩu,record-radical,24
呼,hū,gọi; kêu,resolved,口,Bộ Khẩu,record-radical,24
命,mìng,số phận,resolved,口,Bộ Khẩu,record-radical,24
咀,jǔ,nhai; nhai kỹ,resolved,口,Bộ Khẩu,record-radical,24
和,hé,và,resolved,口,Bộ Khẩu,record-radical,24
咏,yǒng,ngâm thơ,resolved,口,Bộ Khẩu,record-radical,24
咐,fù,dùng trong 吩咐[fen1fu5] và 囑咐|嘱咐[zhu3fu5],resolved,口,Bộ Khẩu,record-radical,24
咖,kā,dùng trong 咖喱[ga1 li2],resolved,口,Bộ Khẩu,record-radical,24
咙,lóng,dùng trong 喉嚨|喉咙[hou2 long2],resolved,口,Bộ Khẩu,record-radical,24
咧,liē,dùng trong 咧咧[lie1 lie1]; dùng trong 大大咧咧[da4 da4 lie1 lie1],resolved,口,Bộ Khẩu,record-radical,24
咨,zī,tư vấn,resolved,口,Bộ Khẩu,record-radical,24
咬,yǎo,cắn,resolved,口,Bộ Khẩu,record-radical,24
咱,zán,"tôi, chúng tôi",resolved,口,Bộ Khẩu,record-radical,24
咳,hāi,"âm thanh thở dài; (thán từ biểu đạt ngạc nhiên, buồn bã, hối tiếc, thất vọng, v.v.) ôi",resolved,口,Bộ Khẩu,record-radical,24
咸,xián,mặn,not-resolved,,,not-resolved,0
咽,yàn,nuốt,resolved,口,Bộ Khẩu,record-radical,24
哀,Aī,"Ai (khoảng năm 2000 TCN), vị thứ sáu của Hoàng đế Viêm 帝炎[Yan2 di4], hậu duệ của Thần Nông 神農|神农[Shen2 nong2] Thần Nông, cũng được biết đến là Li 釐|厘[Li2]",resolved,口,Bộ Khẩu,record-radical,24
品,pǐn,(hình thức kết hợp) hàng hóa; sản phẩm; hàng; (hình thức kết hợp) cấp; hạng,resolved,口,Bộ Khẩu,record-radical,24
哄,hōng,ồn ào,resolved,口,Bộ Khẩu,record-radical,24
哆,duō,run rẩy; vải len,resolved,口,Bộ Khẩu,record-radical,24
哇,wa,wa,resolved,口,Bộ Khẩu,record-radical,24
哈,hā,ha,resolved,口,Bộ Khẩu,record-radical,24
响,xiǎng,"phát ra âm thanh, kêu",resolved,口,Bộ Khẩu,record-radical,24
哎,āi,ai,resolved,口,Bộ Khẩu,record-radical,24
哑,yǎ,câm,resolved,口,Bộ Khẩu,record-radical,24
哗,huā,(từ tượng thanh) bùm; loảng xoảng,resolved,口,Bộ Khẩu,record-radical,24
哥,gē,anh trai,not-resolved,,,not-resolved,0
哦,ó,ồ,resolved,口,Bộ Khẩu,record-radical,24
哨,shào,còi; người gác,resolved,口,Bộ Khẩu,record-radical,24
哪,nǎ,nào?,resolved,口,Bộ Khẩu,record-radical,24
哭,kū,khóc,not-resolved,,,not-resolved,0
哲,zhé,khôn ngoan; một nhà hiền triết,resolved,口,Bộ Khẩu,record-radical,24
哺,bǔ,cho ăn,resolved,口,Bộ Khẩu,record-radical,24
哼,hēng,"rên rỉ, không hài lòng",resolved,口,Bộ Khẩu,record-radical,24
唆,suō,mút; xúi giục,resolved,口,Bộ Khẩu,record-radical,24
唇,chún,môi,resolved,口,Bộ Khẩu,record-radical,24
唉,ài,ai,resolved,口,Bộ Khẩu,record-radical,24
唏,xī,"Hít, rít (âm thanh khóc, thở dài); tiếng than vãn",resolved,口,Bộ Khẩu,record-radical,24
唐,Táng,triều đại nhà Đường (618-907); họ [Tang2],resolved,口,Bộ Khẩu,record-radical,24
唠,láo,nói huyên thuyên,resolved,口,Bộ Khẩu,record-radical,24
唤,huàn,gọi,resolved,口,Bộ Khẩu,record-radical,24
唬,hǔ,gầm của hổ; doạ,resolved,口,Bộ Khẩu,record-radical,24
售,shòu,"bán; thực hiện (một kế hoạch, âm mưu, v.v.)",resolved,口,Bộ Khẩu,record-radical,24
唯,wéi,chỉ,resolved,口,Bộ Khẩu,record-radical,24
唱,chàng,hát,resolved,口,Bộ Khẩu,record-radical,24
唾,tuò,nước bọt; nhổ,resolved,口,Bộ Khẩu,record-radical,24
啃,kěn,gặm,resolved,口,Bộ Khẩu,record-radical,24
啄,zhuó,"mổ, rỉa",resolved,口,Bộ Khẩu,record-radical,24
商,Shāng,nhà Thương (khoảng 1600-1046 TCN); họ [Shang1],resolved,辛,Bộ Tân,record-radical,5
啊,a,a,resolved,口,Bộ Khẩu,record-radical,24
啡,fēi,(dùng trong từ mượn âm),resolved,口,Bộ Khẩu,record-radical,24
啤,pí,bia,resolved,口,Bộ Khẩu,record-radical,24
啥,shá,cái gì?,resolved,口,Bộ Khẩu,record-radical,24
啦,la,trợ từ 'la',resolved,口,Bộ Khẩu,record-radical,24
啬,sè,keo kiệt,not-resolved,,,not-resolved,0
啮,niè,gặm; mòn,resolved,口,Bộ Khẩu,record-radical,24
啰,luō,dùng trong 囉嗦|啰嗦[luo1 suo5],resolved,口,Bộ Khẩu,record-radical,24
啸,xiào,(người) huýt sáo; (chim và động vật) rít; hú; gầm,resolved,口,Bộ Khẩu,record-radical,24
啼,tí,(hình thức kết hợp) khóc; khóc to; (hình thức kết hợp) (chim hoặc động vật) gáy; kêu; ré,resolved,口,Bộ Khẩu,record-radical,24
喂,wèi,alo,resolved,口,Bộ Khẩu,record-radical,24
善,shàn,tốt; lòng tốt,resolved,羊,Bộ Dương,record-radical,5
喇,lā,"(từ tượng thanh) âm thanh của gió, mưa, v.v.",resolved,口,Bộ Khẩu,record-radical,24
喉,hóu,cổ họng; thanh quản,resolved,口,Bộ Khẩu,record-radical,24
喊,hǎn,hét lên,resolved,口,Bộ Khẩu,record-radical,24
喘,chuǎn,thở gấp,resolved,口,Bộ Khẩu,record-radical,24
喜,xǐ,"Vui, mừng, thích, hỷ",not-resolved,,,not-resolved,0
喝,hē,uống,resolved,口,Bộ Khẩu,record-radical,24
喧,xuān,ầm ĩ; tiếng ồn,resolved,口,Bộ Khẩu,record-radical,24
喷,pēn,phun ra; bắn ra; xịt ra; phụt; (lóng) chỉ trích dữ dội (đặc biệt là trên mạng),resolved,口,Bộ Khẩu,record-radical,24
喻,Yù,họ [Yu4],resolved,口,Bộ Khẩu,record-radical,24
嗅,xiù,ngửi; đánh hơi,not-resolved,,,not-resolved,0
嗓,sǎng,cổ họng; giọng nói,resolved,口,Bộ Khẩu,record-radical,24
嗜,shì,nghiện; thích,resolved,口,Bộ Khẩu,record-radical,24
嗝,gé,nấc; cợ,resolved,口,Bộ Khẩu,record-radical,24
嗦,suō,mút; dùng trong 囉嗦|啰嗦[luo1suo5],resolved,口,Bộ Khẩu,record-radical,24
嗯,ng,"ừ, ừm",resolved,口,Bộ Khẩu,record-radical,24
嗽,sòu,(hình thức cố định) ho,resolved,口,Bộ Khẩu,record-radical,24
嘈,cáo,náo nhiệt; huyên náo,resolved,口,Bộ Khẩu,record-radical,24
嘉,Jiā,họ [Jia1],not-resolved,,,not-resolved,0
嘘,xū,thở ra chậm; rít,resolved,口,Bộ Khẩu,record-radical,24
嘛,ma,ma,resolved,口,Bộ Khẩu,record-radical,24
嘟,dū,kêu tut; tút,resolved,口,Bộ Khẩu,record-radical,24
嘱,zhǔ,dặn dò; khẩn cầu,resolved,口,Bộ Khẩu,record-radical,24
嘲,cháo,chế nhạo; nhạo báng,resolved,口,Bộ Khẩu,record-radical,24
嘴,zuǐ,miệng,resolved,口,Bộ Khẩu,record-radical,24
嘿,hēi,này,resolved,口,Bộ Khẩu,record-radical,24
噘,juē,Bĩu (môi),resolved,口,Bộ Khẩu,record-radical,24
器,qì,thiết bị; công cụ,resolved,口,Bộ Khẩu,record-radical,24
噪,zào,(văn học) (chim hoặc côn trùng) hót hoặc kêu; (hình thức kết hợp) tạo ra tiếng ồn ầm ĩ,not-resolved,,,not-resolved,0
嚏,tì,hắt xì,resolved,口,Bộ Khẩu,record-radical,24
嚣,xiāo,ầm ĩ,not-resolved,,,not-resolved,0
嚷,rǎng,hét lên,resolved,口,Bộ Khẩu,record-radical,24
嚼,jiáo,nhai,resolved,口,Bộ Khẩu,record-radical,24
囊,náng,bao; túi,resolved,口,Bộ Khẩu,record-radical,24
囔,nāng,"lẩm bẩm, nói không rõ",resolved,口,Bộ Khẩu,record-radical,24
囗,wéi,vây quanh.,resolved,囗,Bộ Vi,self-radical,11
囚,qiú,tù nhân,resolved,囗,Bộ Vi,record-radical,11
四,sì,bốn,not-resolved,,,not-resolved,0
回,huí,trở về,not-resolved,,,not-resolved,0
因,yīn,nguyên nhân; lý do,resolved,囗,Bộ Vi,record-radical,11
囡,nān,"con gái nhỏ, bé gái",not-resolved,,,not-resolved,0
团,tuán,nhóm,resolved,囗,Bộ Vi,record-radical,11
园,yuán,"công viên, vườn",resolved,囗,Bộ Vi,record-radical,11
困,kùn,mệt mỏi,resolved,囗,Bộ Vi,record-radical,11
囱,chuāng,biến thể của 窗[chuang1],not-resolved,,,not-resolved,0
围,wéi,bao quanh,resolved,囗,Bộ Vi,record-radical,11
固,gù,cứng; mạnh,resolved,囗,Bộ Vi,record-radical,11
国,guó,quốc gia,resolved,囗,Bộ Vi,record-radical,11
图,tú,bức tranh,resolved,囗,Bộ Vi,record-radical,11
圆,yuán,tròn,resolved,囗,Bộ Vi,record-radical,11
圈,quān,vòng tròn,resolved,囗,Bộ Vi,record-radical,11
土,tǔ,đất,resolved,土,Bộ Thổ,self-radical,24
圣,shèng,đào,resolved,又,Bộ Hựu,record-radical,17
在,zài,"ở, tại",not-resolved,,,not-resolved,0
地,de,"trợ từ (đứng sau trạng ngữ, vd 慢慢地)",resolved,土,Bộ Thổ,record-radical,24
场,chǎng,"một từ dùng đo lường cho trò chơi, trận đấu thể thao, cảnh",resolved,土,Bộ Thổ,record-radical,24
圾,jī,dùng trong 垃圾[la1 ji1]; tiếng Đài Loan là [se4],resolved,土,Bộ Thổ,record-radical,24
址,zhǐ,(hình thức kết hợp) địa điểm; vị trí,resolved,土,Bộ Thổ,record-radical,24
均,jūn,"Đều, bằng nhau",resolved,土,Bộ Thổ,record-radical,24
坊,Fāng,họ [Fang1],resolved,土,Bộ Thổ,record-radical,24
坎,kǎn,hố; ngưỡng cửa,resolved,土,Bộ Thổ,record-radical,24
坏,huài,xấu,resolved,土,Bộ Thổ,record-radical,24
坐,zuò,ngồi,resolved,人,Bộ Nhân,record-radical,24
坑,kēng,"hố, lỗ, hõm",resolved,土,Bộ Thổ,record-radical,24
块,kuài,nhân dân tệ,resolved,土,Bộ Thổ,record-radical,24
坚,jiān,mạnh; mạnh mẽ,resolved,土,Bộ Thổ,record-radical,24
坛,tán,bàn thờ,resolved,土,Bộ Thổ,record-radical,24
坝,bà,đập,resolved,土,Bộ Thổ,record-radical,24
坟,fén,mộ,resolved,土,Bộ Thổ,record-radical,24
坠,zhuì,rơi xuống,resolved,土,Bộ Thổ,record-radical,24
坡,pō,dốc,resolved,土,Bộ Thổ,record-radical,24
坦,tǎn,bằng phẳng; cởi mở,resolved,土,Bộ Thổ,record-radical,24
坪,píng,"đồng bằng; bình, đơn vị diện tích xấp xỉ 3,3058 mét vuông (dùng ở Nhật Bản và Đài Loan)",resolved,土,Bộ Thổ,record-radical,24
