char,tier,pinyin,meaningVi,missing,source
乔,A,Qiáo,họ [Qiao2],Hán Việt,chars/4E54.json
乕,C,hǔ,biến thể cổ của 虎[hu3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E55.json
乖,C,guāi,ngoan,bộ thủ,chars/4E56.json
乗,C,chéng,biến thể tiếng Nhật của 乘[cheng2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E57.json
乚,C,yà,thành phần trong chữ Hán; biến thể cổ của 毫[hao2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E5A.json
乛,C,zhé,biến thể của 乙[zhe2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E5B.json
乜,C,miē,họ [Nie4],"bộ thủ, câu liên quan, Hán Việt",chars/4E5C.json
九,C,jiǔ,chín,bộ thủ,chars/4E5D.json
乞,C,qǐ,ăn xin,bộ thủ,chars/4E5E.json
也,C,yě,cũng,bộ thủ,chars/4E5F.json
乡,A,xiāng,nông thôn; quê hương,Hán Việt,chars/4E61.json
乢,C,gài,biến thể cổ của 蓋|盖[gai4]; biến thể cổ của 丐[gai4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E62.json
乣,C,jiǔ,biến thể cổ của 糺[jiu3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E63.json
乤,C,xx,"chữ đầu tiên trong địa danh 乤浦 ""Halpho"" (quốc tự Hàn Quốc)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E64.json
乥,C,xx,"một trong những chữ được dùng trong ""kwukyel"" (phát âm ""hol""), một hệ thống chữ viết cổ của Hàn Quốc","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E65.json
乧,C,xx,"chữ Hán cổ của Hàn Quốc phát âm là dul, gồm bộ âm 斗 du và 乙 ul","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E67.json
乨,C,shǐ,biến thể cổ của 始[shi3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E68.json
乩,C,jī,bói,"bộ thủ, câu liên quan, Hán Việt",chars/4E69.json
乪,C,nāng,chỗ uốn của sông (Quảng Đông),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E6A.json
乫,C,xx,"phiên âm ""gal"" dùng trong địa danh (chữ Hán Hàn Quốc)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E6B.json
乭,C,shí,"đá; phiên âm ""dol"" dùng trong tên (chữ Hán Hàn Quốc)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E6D.json
乳,C,rǔ,vú; sữa,bộ thủ,chars/4E73.json
乴,C,xué,nắm bắt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E74.json
乵,C,yǎn,biến thể cổ của 進|进[jin4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E75.json
乶,B,Fǔ,"(phiên âm ""pol"", dùng trong địa danh Hàn Quốc)","từ liên quan, câu liên quan, Hán Việt",chars/4E76.json
乷,C,xx,"phiên âm ""sal"" (gugja Hàn Quốc)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E77.json
乸,C,nǎ,hậu tố chỉ giống cái (Quảng Đông); hậu tố chỉ giống nữ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E78.json
乺,C,xx,"phiên âm ""sol"" dùng trong địa danh (chữ Hàn Quốc)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E7A.json
乼,C,xx,dây thừng (chữ Hàn Quốc),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E7C.json
乾,C,qián,biến thể cũ của 乾[qian2],bộ thủ,chars/4E7E.json
乿,C,luàn,biến thể cổ của 亂|乱[luan4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E7F.json
亀,C,guī,biến thể cũ của 龜|龟[gui1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E80.json
亃,C,lín,"con vật huyền thoại, được cho là có thân màu vàng và đuôi trắng","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E83.json
亄,C,yì,tham lam; keo kiệt,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E84.json
亅,B,shù,Tức là cái nét xổ có móc,"từ liên quan, câu liên quan, Hán Việt",chars/4E85.json
了,C,le,"trợ từ ""le""",bộ thủ,chars/4E86.json
亇,C,gè,biến thể của 個|个[ge4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E87.json
予,C,yǔ,"cho, ban cho, cấp cho",bộ thủ,chars/4E88.json
亊,C,shì,biến thể của 事[shi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E8A.json
事,C,shì,việc,bộ thủ,chars/4E8B.json
亍,C,chù,bước chân phải (dùng trong 彳亍[chi4 chu4]),"bộ thủ, từ liên quan, câu liên quan",chars/4E8D.json
于,C,yú,ở,bộ thủ,chars/4E8E.json
亏,C,kuī,lỗ (tiền); bị thiếu hụt; bị thiếu,bộ thủ,chars/4E8F.json
亐,C,yú,biến thể cổ của 于[Yu2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E90.json
云,C,yún,mây,bộ thủ,chars/4E91.json
互,C,hù,lẫn nhau,bộ thủ,chars/4E92.json
亓,C,Qí,họ [Qi2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E93.json
五,C,wǔ,năm,bộ thủ,chars/4E94.json
井,C,jǐng,cái giếng,bộ thủ,chars/4E95.json
亖,C,sì,biến thể cũ của 四[si4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E96.json
亘,C,gèn,kéo dài suốt qua; chạy xuyên suốt,"bộ thủ, câu liên quan",chars/4E98.json
亚,C,Yà,châu Á; người châu Á,"bộ thủ, Hán Việt",chars/4E9A.json
些,C,xiē,một vài,bộ thủ,chars/4E9B.json
亜,C,yà,biến thể Nhật Bản của 亞|亚,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E9C.json
亝,C,qí,biến thể cũ của 齊|齐[qi2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4E9D.json
亟,B,jí,khẩn cấp,câu liên quan,chars/4E9F.json
亠,B,tóu,Không có ý nghĩa riêng,"từ liên quan, câu liên quan, Hán Việt",chars/4EA0.json
亡,C,wáng,chết; mất,bộ thủ,chars/4EA1.json
亢,C,Kàng,"họ [Kang4]; Khang, một trong 28 chòm sao","bộ thủ, câu liên quan",chars/4EA2.json
交,C,jiāo,giao,bộ thủ,chars/4EA4.json
亥,C,hài,"địa chi thứ 12: 9-11 giờ tối, tháng 10 âm lịch (7 tháng Mười Một-6 tháng Mười Hai), năm Hợi; phương vị la bàn cổ Trung Quốc: 330°","bộ thủ, câu liên quan",chars/4EA5.json
亦,A,yì,cũng,Hán Việt,chars/4EA6.json
产,A,chǎn,sản xuất,Hán Việt,chars/4EA7.json
亨,C,hēng,thịnh vượng; henry (đơn vị cảm kháng),"bộ thủ, câu liên quan",chars/4EA8.json
亩,B,mǔ,mẫu (đơn vị diện tích = 1/15 ha),"câu liên quan, Hán Việt",chars/4EA9.json
亪,C,xx,"một trong những chữ được dùng trong kwukyel (phát âm ""ye""), một hệ thống chữ viết cổ của Hàn Quốc","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EAA.json
享,C,xiǎng,tận hưởng,bộ thủ,chars/4EAB.json
京,C,Jīng,họ [Jing1]; dân tộc Jing,bộ thủ,chars/4EAC.json
亭,C,tíng,đình; quầy,bộ thủ,chars/4EAD.json
亮,A,liàng,sáng; phát sáng,Hán Việt,chars/4EAE.json
亳,C,Bó,tên của quận ở An Huy; thủ đô của nhà Ân,"bộ thủ, câu liên quan, Hán Việt",chars/4EB3.json
亵,C,xiè,tục tĩu; thiếu tôn trọng,"bộ thủ, câu liên quan, Hán Việt",chars/4EB5.json
亶,C,Dǎn,họ [Dan3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EB6.json
亸,C,duǒ,rủ xuống,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EB8.json
亹,C,mén,đèo núi; hẻm núi (cổ),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EB9.json
亻,B,rén,"Người, hành vi, quan hệ.","từ liên quan, câu liên quan, Hán Việt",chars/4EBB.json
亼,C,jí,biến thể của 集[ji2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EBC.json
亽,C,jí,biến thể thời cổ của 亼[ji2],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EBD.json
仁,C,rén,"nhân (lòng nhân ái, lòng thương người)",bộ thủ,chars/4EC1.json
仂,B,lè,dư ra; một phần mười,"từ liên quan, câu liên quan, Hán Việt",chars/4EC2.json
仃,B,dīng,một mình,câu liên quan,chars/4EC3.json
仄,C,zè,nghiêng; hẹp,"bộ thủ, câu liên quan",chars/4EC4.json
仅,A,jǐn,chỉ,Hán Việt,chars/4EC5.json
仈,C,Bā,họ [Ba1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EC8.json
仉,C,Zhǎng,họ [Zhang3],"bộ thủ, từ liên quan, câu liên quan",chars/4EC9.json
今,C,jīn,bây giờ; thời gian hiện tại,bộ thủ,chars/4ECA.json
仌,C,bīng,biến thể cũ của 冰[bing1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4ECC.json
仍,C,réng,vẫn,bộ thủ,chars/4ECD.json
从,C,cóng,từ,bộ thủ,chars/4ECE.json
仏,C,fó,biến thể tiếng Nhật của 佛,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4ECF.json
仑,C,lún,sắp xếp,bộ thủ,chars/4ED1.json
仒,C,xx,"một trong những chữ được dùng trong kwukyel (phiên âm ""eo"" hoặc ""sya""), một hệ thống chữ viết cổ của Hàn Quốc","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4ED2.json
仓,C,cāng,kho; thương khố,"bộ thủ, Hán Việt",chars/4ED3.json
仚,C,xiān,biến thể cũ của 仙[xian1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EDA.json
仞,C,rèn,(đơn vị đo lường),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EDE.json
仟,B,qiān,nghìn (chữ số tránh gian lận của ngân hàng),"từ liên quan, câu liên quan, Hán Việt",chars/4EDF.json
仡,C,Gē,"dùng trong 仡佬族[Ge1 lao3 zu2], dân tộc Gelao hoặc Klau ở Quý Châu; phát âm ở Đài Loan: [qi4]","bộ thủ, câu liên quan, Hán Việt",chars/4EE1.json
以,C,yǐ,"vì, cho, bởi","bộ thủ, Hán Việt",chars/4EE5.json
仨,C,sā,ba (cách nói khẩu ngữ của 三個|三个),"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EE8.json
仪,C,yí,thiết bị; nghi thức,bộ thủ,chars/4EEA.json
仫,B,mù,"dùng trong 仫佬族[Mu4 lao3 zu2], dân tộc Mulao của Quảng Tây","câu liên quan, Hán Việt",chars/4EEB.json
仮,C,jiǎ,biến thể tiếng Nhật của 假[jia3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4EEE.json
仰,C,yǎng,ngẩng mặt lên,bộ thủ,chars/4EF0.json
仲,C,Zhòng,họ [Zhong4],"bộ thủ, Hán Việt",chars/4EF2.json
仳,B,pǐ,chia lìa,"từ liên quan, câu liên quan, Hán Việt",chars/4EF3.json
仵,B,Wǔ,họ [Wu3],"câu liên quan, Hán Việt",chars/4EF5.json
伀,C,zhōng,bồn chồn; kích động,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F00.json
伄,B,diào,dùng trong 伄儅[diao4 dang1],"từ liên quan, câu liên quan, Hán Việt",chars/4F04.json
伇,C,yì,biến thể cũ của 役[yi4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F07.json
伈,C,xǐn,lo lắng; sợ hãi,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F08.json
伉,B,kàng,vợ chồng; to cao,"câu liên quan, Hán Việt",chars/4F09.json
伋,C,jí,không thực,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F0B.json
伍,C,Wǔ,họ [Wu3],bộ thủ,chars/4F0D.json
伎,C,jì,nghệ thuật; tài năng,"bộ thủ, câu liên quan",chars/4F0E.json
伏,C,Fú,họ [Fu2],bộ thủ,chars/4F0F.json
伐,C,fá,chặt; hạ xuống,bộ thủ,chars/4F10.json
伕,C,fū,biến thể của 夫[fu1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F15.json
优,A,yōu,tuyệt vời,Hán Việt,chars/4F18.json
伙,A,huǒ,bạn,Hán Việt,chars/4F19.json
会,C,huì,có thể,bộ thủ,chars/4F1A.json
伛,C,yǔ,gù lưng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F1B.json
伜,C,cuì,biến thể của 倅[cui4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F1C.json
伝,C,chuán,biến thể tiếng Nhật của 傳|传,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F1D.json
伞,C,sǎn,cái ô,bộ thủ,chars/4F1E.json
伢,B,yá,(phương ngữ) trẻ con,"câu liên quan, Hán Việt",chars/4F22.json
伣,C,qiàn,(cổ) như; là,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F23.json
伥,B,chāng,"(hình thức kết hợp) quỷ của người bị hổ ăn thịt, giúp hổ ăn thịt người khác",câu liên quan,chars/4F25.json
伧,C,cāng,kẻ hèn; mộc mạc,"bộ thủ, câu liên quan, Hán Việt",chars/4F27.json
伩,C,xìn,biến thể của 信[xin4] (ban đầu có nghĩa là một phần của đợt giản thể hóa thứ hai của chữ Hán),"bộ thủ, từ liên quan, câu liên quan",chars/4F29.json
伫,C,zhù,,"nghĩa, bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F2B.json
估,A,gū,ước lượng,Hán Việt,chars/4F30.json
伱,C,nǐ,biến thể cổ của 你[ni3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F31.json
伲,B,nǐ,biến thể của 你[ni3],"từ liên quan, câu liên quan",chars/4F32.json
伶,B,líng,(cũ) diễn viên nam; diễn viên nữ; (hình thức không có nghĩa),câu liên quan,chars/4F36.json
伸,C,shēn,duỗi ra,"bộ thủ, Hán Việt",chars/4F38.json
伹,C,qū,vụng về và ngốc nghếch; chậm chạp,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F39.json
伺,A,cì,dùng trong 伺候[ci4hou5],Hán Việt,chars/4F3A.json
伻,C,bēng,gây ra,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F3B.json
伾,C,pī,nhiều; mạnh mẽ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F3E.json
佃,C,diàn,nông dân,"bộ thủ, câu liên quan",chars/4F43.json
但,A,dàn,nhưng,Hán Việt,chars/4F46.json
佉,B,Qū,họ [Qu1],"từ liên quan, câu liên quan, Hán Việt",chars/4F49.json
佌,C,cǐ,nhỏ nhặt; đáng thương,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F4C.json
佑,A,yòu,(hình thức kết hợp) phù hộ; bảo vệ,Hán Việt,chars/4F51.json
何,A,Hé,họ [He2],Hán Việt,chars/4F55.json
佗,C,tuó,mang trên lưng,"bộ thủ, câu liên quan, Hán Việt",chars/4F57.json
佘,B,Shé,họ [She2],"từ liên quan, câu liên quan, Hán Việt",chars/4F58.json
余,C,yú,dư thừa,bộ thủ,chars/4F59.json
佚,C,Yì,họ [Yi4],"bộ thủ, câu liên quan",chars/4F5A.json
佝,C,gōu,dùng trong 佝僂|佝偻[gou1 lou2],"bộ thủ, câu liên quan, Hán Việt",chars/4F5D.json
佞,C,nìng,tâng bốc; xu nịnh,bộ thủ,chars/4F5E.json
佟,B,Tóng,họ [Tong2],"câu liên quan, Hán Việt",chars/4F5F.json
佡,C,xiān,"biến thể của 仙, bất tử; nhẹ (như lông)","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F61.json
佢,C,qú,"(Quảng Đông) anh ấy, cô ấy, nó","bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F62.json
佣,C,yòng,tiền hoa hồng (cho người môi giới); phí môi giới,"bộ thủ, Hán Việt",chars/4F63.json
佤,B,wǎ,"nhóm dân tộc Wa, Kawa hoặc Va của Myanmar, nam Trung Quốc và Đông Nam Á","câu liên quan, Hán Việt",chars/4F64.json
佥,C,qiān,tất cả,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F65.json
佧,B,kǎ,tên gọi cổ cho một nhóm dân tộc ở Trung Quốc,"câu liên quan, Hán Việt",chars/4F67.json
佩,C,pèi,"kính trọng; đeo (thắt lưng,...)","bộ thủ, Hán Việt",chars/4F69.json
佪,C,huái,do dự; di chuyển qua lại,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F6A.json
佫,C,Hè,họ [He4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F6B.json
佬,C,lǎo,nam; đàn ông (tiếng Quảng Đông),"bộ thủ, câu liên quan, Hán Việt",chars/4F6C.json
佯,B,yáng,giả vờ; giả bộ,"câu liên quan, Hán Việt",chars/4F6F.json
佰,C,bǎi,một trăm (chữ số phòng chống gian lận của ngân hàng),"bộ thủ, câu liên quan, Hán Việt",chars/4F70.json
佱,C,fǎ,biến thể cũ của 法[fa3],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F71.json
佴,C,èr,trợ lý,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F74.json
佶,B,jí,khó phát âm,"từ liên quan, câu liên quan, Hán Việt",chars/4F76.json
佷,C,hěn,hành động trái ngược,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F77.json
佸,C,huó,gặp gỡ,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F78.json
佹,C,guǐ,(văn học) ngang ngược; vô lý; (văn học) kỳ quặc; bí ẩn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F79.json
佺,C,quán,tiên,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F7A.json
佻,C,tiāo,nông nổi; không vững,"bộ thủ, câu liên quan",chars/4F7B.json
佼,B,jiǎo,đẹp trai,"câu liên quan, Hán Việt",chars/4F7C.json
佽,B,Cì,họ [Ci4],"từ liên quan, câu liên quan, Hán Việt",chars/4F7D.json
佾,C,yì,hàng vũ công trong lễ tế,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F7E.json
侀,C,xíng,hình dạng; điều luật,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F80.json
侁,C,shēn,đám đông lớn,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F81.json
侂,C,tuō,giao phó; uỷ thác,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F82.json
侃,C,kǎn,ngay thẳng và trung thực; vui vẻ,"bộ thủ, Hán Việt",chars/4F83.json
侄,A,zhí,biến thể của 姪|侄[zhi2],Hán Việt,chars/4F84.json
侅,C,gāi,đưa cho; chuẩn bị để bao gồm trong,"bộ thủ, từ liên quan, câu liên quan",chars/4F85.json
侇,C,yí,(cũ) loại; hạng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F87.json
侈,C,chǐ,xa hoa; lãng phí,bộ thủ,chars/4F88.json
侉,B,kuǎ,giọng nước ngoài,"từ liên quan, câu liên quan, Hán Việt",chars/4F89.json
侌,C,yīn,biến thể cũ của 陰|阴[yin1],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F8C.json
侍,A,shì,phục vụ; chăm sóc,Hán Việt,chars/4F8D.json
侏,B,zhū,người lùn,"câu liên quan, Hán Việt",chars/4F8F.json
侐,C,xù,tĩnh; lặng,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F90.json
侑,B,yòu,(văn học) mời ai đó (ăn hoặc uống),"từ liên quan, câu liên quan, Hán Việt",chars/4F91.json
侔,B,móu,tương tự; sánh được,"từ liên quan, câu liên quan",chars/4F94.json
侗,B,Dòng,dân tộc Đồng (còn gọi là người Kam),"câu liên quan, Hán Việt",chars/4F97.json
侘,C,chà,khoác lác; chán nản,"bộ thủ, từ liên quan, câu liên quan",chars/4F98.json
侚,C,xùn,(văn học) nhanh; biến thể của 殉[xun4],"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F9A.json
侜,C,zhōu,che giấu; che đậy,"bộ thủ, từ liên quan, câu liên quan, Hán Việt",chars/4F9C.json
